2017-12-10 14:28:27,460 [Worker-4] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2017-12-10 14:29:00,277 [Worker-16] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: edu.stevens.cs549:PageRank:1.0.0 @ F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\pom.xml.
2017-12-10 14:29:02,160 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /PageRank.toDist/src
2017-12-10 14:29:02,160 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Resources folder /PageRank.toDist/src overlaps with sources folder /PageRank.toDist/src
2017-12-10 14:29:02,164 [Worker-16] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Not adding source folder /PageRank.toDist/src/test/java because it overlaps with /PageRank.toDist/src
2017-12-10 14:29:02,382 [Worker-16] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Imported and configured 1 project(s) in 3 sec
2017-12-10 14:29:04,209 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 14:29:04,219 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 14:29:04,224 [Worker-3] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 14:29:04,225 [Worker-3] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory F:\CS-549-Distributed Cloud Computing\Assignment 5-Abhilash_Ugaonkar\Source Code\PageRank\PageRank.toDist\src\test\resources
2017-12-10 14:29:37,789 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2017-12-10 14:29:37,791 [Worker-2] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2017-12-10 14:29:37,793 [Worker-2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
